482030002,1,RURAL,3,32.668987,-94.167457,-6
482090614,1,RURAL,3,30.214616,-98.083347,-6
482311006,1,SUBURBAN,2,33.153077,-96.115561,-6
482450009,1,SUBURBAN,2,30.03644,-94.071091,-6
482450022,1,SUBURBAN,2,29.863953,-94.3178,-6
482451035,1,SUBURBAN,2,29.978924,-94.010872,-6
482570005,1,SUBURBAN,2,32.564952,-96.317677,-6
483091037,1,RURAL,3,31.653068,-97.070684,-6
483390078,1,SUBURBAN,2,30.350302,-95.425128,-6
483611001,1,URBAN AND CENTER CITY,1,30.085263,-93.761341,-6
484230007,1,RURAL,3,32.344008,-95.415752,-6
484391002,1,URBAN AND CENTER CITY,1,32.805818,-97.356568,-6
484393009,1,SUBURBAN,2,32.98426,-97.063705,-6
484393011,1,SUBURBAN,2,32.656372,-97.088583,-6
484530020,1,RURAL,3,30.483168,-97.872301,-6
500070014,1,URBAN AND CENTER CITY,1,44.4762,-73.2106,-5
500210002,1,URBAN AND CENTER CITY,1,43.608056,-72.982778,-5
510130020,1,URBAN AND CENTER CITY,1,38.8577,-77.05922,-5
510330001,1,RURAL,3,38.20087,-77.37742,-5
510360002,1,SUBURBAN,2,37.34438,-77.25925,-5
510590005,1,SUBURBAN,2,38.8941,-77.4652,-5
510591005,1,SUBURBAN,2,38.83738,-77.16338,-5
510595001,1,SUBURBAN,2,38.9326,-77.19822,-5
511071005,1,SUBURBAN,2,39.02473,-77.48925,-5
511530009,1,SUBURBAN,2,38.85287,-77.63462,-5
511611004,1,SUBURBAN,2,37.28342,-79.88452,-5
511650003,1,SUBURBAN,2,38.47753,-78.81952,-5
515100009,1,URBAN AND CENTER CITY,1,38.810403,-77.04435,-5
517100024,1,URBAN AND CENTER CITY,1,36.85555,-76.30135,-5
517600024,1,URBAN AND CENTER CITY,1,37.5626,-77.465,-5
530570018,1,SUBURBAN,2,48.460101,-122.51911,-8
550710007,1,RURAL,3,44.138619,-87.6161,-6
550710007,2,RURAL,3,44.138619,-87.6161,-6
550790026,1,URBAN AND CENTER CITY,1,43.060975,-87.913504,-6
550790026,2,URBAN AND CENTER CITY,1,43.060975,-87.913504,-6
560050123,1,RURAL,3,44.6522,-105.2903,-7
560050456,1,RURAL,3,44.146964,-105.529994,-7
560130099,1,RURAL,3,42.529999,-108.720003,-7
560350098,1,RURAL,3,42.43647,-109.6959,-7
560350099,1,RURAL,3,42.719,-109.753,-7
560350100,1,RURAL,3,42.7907,-110.0551,-7
560370200,1,RURAL,3,41.677453,-108.024575,-7
560410101,1,RURAL,3,41.373097,-111.042376,-7
